slot_id,purpose,start_hour,day_of_week,duration_seconds
S09,eating,12,2,2820
S13,eating,10,4,5340
S15,other,8,1,1260
S04,work,21,1,13980
S06,work,17,3,6480
S08,work,18,3,12360
S08,eating,14,0,5940
S04,work,19,3,20400
S19,other,7,4,1980
S20,work,8,2,18900
S03,shopping,18,4,3780
S05,work,20,1,22920
S17,other,9,4,660
S20,eating,13,3,2760
S19,other,15,6,1320
S11,cinema,7,4,8700
S02,other,18,0,900
S10,eating,17,0,5100
S11,cinema,23,3,2760
S05,cinema,17,4,11940
S02,shopping,9,3,6300
S05,work,19,3,19140
S20,cinema,21,3,4440
S19,other,12,2,1980
S05,other,16,4,2460
S11,cinema,22,2,9120
S02,other,12,0,960
S15,eating,10,2,4680
S18,cinema,20,0,11760
S17,other,17,2,2280
S01,eating,21,6,3360
S05,cinema,7,6,12900
S03,work,11,3,10200
S11,work,18,1,7380
S15,other,12,5,1560
S11,shopping,10,2,6660
S11,work,11,4,15780
S17,shopping,22,6,9000
S01,eating,16,4,2880
S17,other,9,4,1620
S05,work,10,3,9240
S19,cinema,11,2,9300
S15,cinema,14,4,9060
S20,shopping,21,6,4020
S03,cinema,22,4,11220
S09,other,7,3,2280
S10,work,11,5,12360
S15,eating,20,0,4080
S05,cinema,13,4,16380
S13,work,15,0,12360
S09,work,18,4,10980
S14,cinema,21,2,6660
S16,cinema,18,6,11160
S18,other,11,2,2280
S06,cinema,15,3,2040
S17,shopping,15,6,5820
S02,other,8,5,420
S04,other,8,0,1320
S08,work,23,2,19740
S14,work,14,0,11520
S19,other,19,5,1740
S09,other,18,4,2820
S14,cinema,21,4,11640
S07,eating,7,4,2880
S02,other,11,2,1320
S19,eating,7,5,2100
S20,cinema,21,4,5040
S01,shopping,15,2,5220
S05,other,21,2,2460
S03,work,17,5,7740
S10,work,9,2,14820
S16,eating,19,1,2100
S20,other,14,4,660
S11,work,18,4,12840
S12,shopping,13,4,2760
S07,other,18,5,1800
S18,other,13,2,1440
S02,cinema,10,0,8400
S13,shopping,8,3,10140
S13,cinema,14,3,9960
S01,work,10,0,8700
S08,eating,12,5,3300
S18,cinema,11,6,10200
S12,eating,13,1,540
S12,cinema,19,2,4680
S20,eating,17,2,4680
S17,other,22,2,2040
S12,shopping,22,6,4140
S19,work,20,2,19800
S13,cinema,23,3,8100
S13,other,21,2,1740
S01,cinema,19,3,6600
S03,shopping,16,5,4080
S20,shopping,11,4,8700
S20,other,23,2,2640
S19,eating,7,0,4860
S13,other,21,0,1980
S10,other,15,5,2040
S18,eating,8,2,1620
S10,work,18,4,6780
S06,eating,8,1,4380
S01,shopping,20,2,2580
S02,cinema,8,3,13500
S10,shopping,15,3,5340
S04,shopping,18,5,4140
S18,other,23,5,900
S13,other,11,4,1980
S16,eating,19,5,2460
S01,cinema,7,6,11520
S10,other,10,2,2580
S20,work,19,5,19620
S06,cinema,19,2,8160
S11,work,23,4,1380
S11,other,16,5,1920
S20,cinema,13,3,10140
S06,cinema,20,0,16440
S01,other,21,2,3600
S19,work,11,6,14640
S06,work,7,3,19200
S07,cinema,9,2,4980
S14,shopping,22,3,7980
S13,eating,20,3,3900
S08,work,7,3,10140
S20,shopping,12,0,4560
S04,cinema,10,3,16380
S01,shopping,15,6,6780
S06,shopping,9,6,9660
S16,eating,9,5,5400
S10,cinema,23,5,21960
S07,other,12,5,1920
S04,shopping,15,6,60
S02,shopping,8,1,5640
S01,work,8,5,3660
S20,other,23,1,2520
S06,shopping,17,6,3000
S09,cinema,8,1,9600
S05,cinema,10,3,16560
S06,eating,16,1,2040
S05,work,15,3,17700
S12,cinema,9,2,9360
S09,eating,20,1,2760
S03,cinema,22,1,6120
S04,other,16,2,2160
S16,work,19,4,12300
S10,eating,22,1,3060
S18,shopping,23,5,2820
S19,eating,19,0,6720
S04,other,15,2,1380
S14,cinema,21,0,12420
S15,shopping,15,1,2160
S18,shopping,12,5,6300
S17,cinema,17,4,15000
S08,shopping,13,4,7320
S17,shopping,21,6,6180
S16,work,23,2,12720
S04,cinema,21,5,9720
S12,shopping,19,4,5880
S10,other,20,1,3000
S01,eating,8,3,2760
S06,shopping,7,5,4560
S06,eating,23,1,4020
S17,shopping,18,5,2040
S08,shopping,9,6,3540
S03,cinema,20,2,7740
S02,shopping,9,2,4140
S04,work,12,5,12660
S14,cinema,11,6,2640
S05,cinema,19,3,9360
S10,other,20,5,2160
S17,shopping,8,6,6300
S04,other,8,2,2160
S11,other,12,0,480
S18,other,8,4,2100
S12,other,18,0,420
S11,work,21,2,3720
S02,cinema,10,1,10920
S10,shopping,18,0,2760
S18,cinema,19,3,12780
S13,work,16,0,17580
S08,work,23,4,23580
S11,other,11,6,2460
S01,eating,7,4,4560
S03,work,15,3,9300
S08,eating,22,2,3240
S16,work,19,2,8040
S18,cinema,16,4,10200
S03,eating,18,4,3240
S05,shopping,15,4,5520
S14,work,8,1,12780
S11,other,20,4,900
S04,work,21,5,14820
S11,cinema,10,4,15060
S02,work,9,1,11040
S05,eating,13,2,2160
S12,work,7,1,19800
S19,work,13,0,6540
S17,eating,9,5,4920
S02,cinema,23,2,11100
S10,cinema,13,4,11220
S02,shopping,19,4,3600
S18,cinema,15,6,7500
S12,work,16,5,21000
S10,eating,20,5,5880
S10,shopping,20,0,6240
S06,shopping,23,3,2640
S08,work,23,1,16080
S19,eating,12,5,3780
S20,other,11,5,1800
S06,cinema,9,3,10680
S17,cinema,18,2,11640
S13,eating,20,0,2940
S02,other,9,3,1860
S18,work,8,4,9780
S20,eating,9,3,2040
S16,shopping,9,4,5280
S15,cinema,11,1,8940
S15,eating,17,2,6900
S02,work,22,4,7440
S05,cinema,12,4,13080
S15,shopping,16,4,4260
S09,shopping,11,0,7920
S04,cinema,21,4,12060
S11,eating,14,0,6780
S13,work,8,3,19200
S03,work,18,2,22440
S01,other,11,3,960
S08,eating,15,5,3180
S04,shopping,10,4,4800
S05,shopping,13,3,6540
S02,other,12,5,2580
S05,shopping,22,4,7080
S12,shopping,16,2,9120
S15,eating,9,3,5100
S08,cinema,12,5,8460
S06,work,14,2,19200
S20,cinema,11,0,13140
S07,shopping,23,5,4500
S10,eating,17,1,1860
S08,cinema,15,1,11640
S18,shopping,12,2,7200
S20,eating,17,0,4740
S19,eating,13,4,4980
S15,other,17,0,1740
S17,shopping,17,1,5160
S16,eating,22,5,3720
S04,cinema,14,6,10680
S02,cinema,7,2,12000
S19,other,9,6,2040
S20,cinema,11,2,10680
S16,eating,11,6,3540
S08,other,16,1,1380
S04,work,10,6,21060
S09,work,11,0,18540
S15,other,7,0,3600
S05,eating,18,2,3420
S12,eating,8,2,2940
S02,other,16,0,1380
S07,other,21,0,1140
S13,shopping,15,2,3060
S07,cinema,15,6,16860
S05,cinema,17,0,10020
S07,eating,10,2,4500
S15,shopping,22,6,6180
S15,other,11,1,1020
S06,other,20,2,1980
S06,cinema,9,6,4260
S08,other,8,6,1860
S04,other,18,5,1860
S16,work,10,4,20040
S06,shopping,23,1,5220
S20,work,23,4,11400
S20,shopping,21,5,8220
S09,eating,11,6,2700
S03,cinema,22,1,13440
S04,shopping,13,3,3780
S15,work,19,5,9120
S09,work,9,3,6600
S02,cinema,18,0,3240
S14,work,20,6,16140
S09,work,19,5,4680
S12,eating,19,4,2580
S03,cinema,12,4,15480
S16,work,20,4,1680
S05,eating,15,1,5580
S01,other,13,0,2940
S11,work,10,0,14640
S07,work,12,3,9000
S02,other,10,2,1980
S05,cinema,16,5,7860
S19,cinema,19,2,11580
S09,work,20,2,22500
S04,work,10,5,8460
S17,cinema,22,3,4620
S07,eating,22,2,3120
S19,eating,10,4,7140
S05,eating,18,2,6120
S14,other,13,0,1740
S11,other,15,6,3120
S03,work,13,1,21720
S09,other,20,4,120
S10,eating,9,6,5340
S11,work,15,6,1800
S01,cinema,22,5,14220
S10,eating,19,1,3960
S07,shopping,10,4,6840
S20,cinema,23,6,9600
S18,work,21,0,16740
S02,shopping,19,4,5820
S18,other,9,1,2400
S09,eating,12,3,5820
S20,work,15,5,15780
S10,cinema,10,0,9300
S09,eating,7,5,5280
S10,eating,8,3,7500
S07,shopping,23,0,1200
S07,work,22,3,10980
S06,eating,22,0,4140
S17,work,15,0,16800
S10,cinema,12,5,8700
S14,cinema,17,4,15720
S05,shopping,20,5,4140
S09,cinema,14,5,16980
S11,work,11,2,22740
S12,other,15,6,2040
S05,work,23,5,18420
S17,other,23,0,2820
S10,shopping,19,0,7380
S05,work,18,3,20460
S13,shopping,12,5,5460
S03,eating,12,0,2520
S10,eating,16,5,4440
S18,shopping,16,0,7620
S16,cinema,7,1,12540
S14,cinema,16,6,12600
S02,cinema,8,4,13500
S07,shopping,16,0,8940
S13,cinema,22,6,12480
S13,cinema,14,2,11940
S08,cinema,7,3,12600
S12,work,17,2,7680
S04,work,20,1,20640
S02,work,16,0,9360
S17,work,10,0,25920
S17,other,16,5,2100
S10,other,10,6,2280
S16,eating,18,1,4620
S16,other,21,5,360
S18,work,12,3,23760
S15,eating,18,4,4980
S17,shopping,21,2,7080
S13,work,19,4,8400
S06,cinema,22,3,9060
S20,other,21,0,1260
S05,shopping,11,6,3900
S11,other,10,4,2640
S09,shopping,17,2,6480
S19,other,21,5,1140
S19,work,9,0,23520
S03,cinema,11,3,9180
S13,work,15,3,10020
S16,shopping,15,3,5640
S04,eating,9,6,3540
S15,shopping,17,1,7380
S14,other,9,6,1320
S11,other,19,3,2640
S05,shopping,19,0,7740
S14,work,11,2,12900
S08,cinema,11,4,13920
S19,eating,19,5,2940
S08,cinema,12,5,11460
S14,shopping,22,1,4080
S18,work,15,3,11580
S09,cinema,20,3,13260
S16,work,17,4,22860
S03,other,15,2,2220
S16,other,8,6,540
S04,shopping,8,5,2880
S15,work,14,5,11940
S18,eating,13,0,3900
S09,cinema,21,4,14520
S07,eating,14,1,4980
S09,shopping,16,6,5160
S09,other,10,5,1140
S14,eating,22,1,4860
S13,shopping,21,1,5100
S11,work,15,2,19320
S02,shopping,14,3,4440
S08,other,13,4,1080
S07,cinema,21,0,13740
S17,eating,13,0,1680
S03,work,8,1,6240
S05,work,22,6,17940
S17,other,21,6,3000
S08,cinema,23,1,9480
S15,shopping,13,2,7680
S12,work,8,3,17520
S07,other,11,2,1680
S11,eating,22,4,4560
S07,other,17,6,1860
S06,cinema,9,6,8820
S01,eating,18,3,4560
S13,shopping,15,2,9180
S10,other,18,0,1440
S01,eating,21,0,4980
S20,other,12,6,1800
S05,other,11,0,2040
S06,cinema,11,4,9420
S04,other,14,5,2700
S16,eating,7,3,4380
S15,work,7,1,8880
S09,eating,15,1,2580
S03,shopping,14,2,2100
S05,cinema,22,1,6000
S12,cinema,18,4,11400
S03,work,13,2,19440
S09,work,9,6,13980
S15,cinema,14,4,9420
S19,shopping,9,3,2820
S19,work,20,3,15240
S18,eating,9,4,3480
S01,eating,13,6,7200
S01,work,17,4,15120
S07,work,7,6,10980
S16,cinema,9,3,4860
S13,shopping,16,2,4500
S09,cinema,19,6,11160
S09,work,23,5,13680
S16,work,7,4,8580
S14,work,12,1,11820
S08,cinema,13,4,8280
S06,other,10,5,2340
S19,eating,21,3,5400
S12,cinema,22,1,10260
S03,cinema,11,4,13320
S12,cinema,20,3,8340
S04,eating,21,4,1800
S11,eating,8,4,4860
S13,eating,9,5,4380
S16,cinema,17,3,7680
S11,eating,22,3,4680
S16,work,7,1,15180
S05,work,11,1,4680
S07,work,8,5,11820
S05,other,21,2,2460
S15,eating,8,5,2580
S04,work,20,3,12060
S02,shopping,18,0,8040
S20,cinema,20,6,4260
S10,cinema,10,2,15360
S18,work,21,5,4500
S09,other,18,5,360
S01,other,8,1,2160
S01,other,9,5,1080
S19,shopping,17,2,8100
S20,work,23,4,5460
S04,shopping,16,4,6000
S03,shopping,16,5,4740
S20,work,7,4,18360
S18,cinema,7,5,13380
S18,eating,15,4,3420
S05,cinema,20,4,18300
S18,work,13,6,6840
S03,cinema,21,4,10440
S11,work,18,2,13800
S01,eating,16,6,2640
S05,work,7,3,18240
S03,work,21,5,11700
S14,work,10,3,24180
S05,cinema,15,5,5880
S10,work,10,5,21720
S19,eating,7,5,4020
S08,cinema,12,4,4860
S16,shopping,18,2,60
S12,work,22,1,14460
S19,eating,13,6,4560
S16,eating,18,3,3060
S11,other,14,1,900
S03,other,9,0,1380
S18,shopping,19,0,2640
S14,work,12,6,22800
S09,other,14,2,360
S06,shopping,12,3,4560
S02,cinema,21,6,8880
S16,eating,17,5,2760
S02,work,10,2,9540
S18,other,20,4,1920
S02,eating,13,2,4260
S10,other,14,5,2820
S02,shopping,9,2,9240
S07,other,12,6,120
S11,other,8,2,3240
S04,cinema,12,0,16200
S04,other,11,3,1080
S16,other,8,2,2820
S06,other,17,4,240
S20,work,21,4,18600
S03,other,8,3,2280
S13,shopping,14,6,4800
S07,work,7,6,5580
S10,other,18,4,1380
S17,shopping,7,3,8640
S09,cinema,19,3,9060
S14,other,12,4,2940
S08,shopping,16,1,7560
S17,eating,15,4,4980
S02,eating,7,5,2640
S10,work,8,6,19800
S13,eating,9,0,3360
S13,work,15,5,11880
S06,work,22,2,21240
S17,other,15,6,1800
S08,work,17,2,19020
S19,other,9,0,2880
S10,other,23,5,1260
S04,cinema,20,2,13740
S20,other,15,4,660
S02,work,9,3,9420
S11,work,7,2,15900
S18,shopping,16,5,5340
S14,other,16,1,1440
S16,eating,18,6,3540
S20,cinema,10,4,10620
S15,work,20,0,14520
S08,shopping,19,6,5580
S07,work,20,0,15000
S16,shopping,18,2,7260
S06,eating,14,1,2640
S17,work,12,4,7620
S07,work,8,2,7020
S12,cinema,15,1,10260
S10,shopping,23,2,2640
S02,cinema,17,0,9360
S01,eating,20,0,2220
S10,work,17,2,21300
S09,cinema,8,1,7320
S10,shopping,9,3,5220
S16,other,7,4,60
S08,cinema,16,4,7860
S03,cinema,16,1,14820
S17,cinema,17,0,3600
S07,other,13,5,2040
S18,work,20,3,22200
S17,other,21,1,1560
S02,work,12,4,21540
S14,other,18,1,1140
S03,eating,10,1,2580
S08,cinema,13,6,17520
S06,eating,22,0,5160
S16,eating,13,6,1920
S04,shopping,8,0,4560
S09,cinema,8,1,16920
S15,shopping,22,3,3240
S05,work,22,3,13500
S10,shopping,8,3,7200
S07,work,12,4,15420
S20,cinema,20,1,14460
S02,cinema,16,4,17460
S01,eating,19,4,6480
S01,cinema,22,1,3120
S05,shopping,12,3,5400
S17,work,10,1,6720
S18,cinema,10,1,8400
S11,other,23,1,2400
S13,eating,20,1,1200
S15,eating,17,3,2220
S16,work,16,5,13440
S07,work,14,0,15360
S12,other,22,5,840
S05,work,16,0,8700
S13,work,17,6,13020
S08,work,14,6,23580
S03,eating,9,5,2880
S17,shopping,17,4,1680
S06,other,9,2,3120
S06,eating,13,1,3960
S19,cinema,13,0,5220
S01,shopping,11,5,5460
S04,cinema,14,6,10320
S09,eating,7,2,7320
S06,shopping,17,1,11520
S19,other,10,0,1920
S11,other,19,0,3240
S12,work,7,2,17760
S01,work,9,3,7680
S09,cinema,10,2,12600
S12,work,20,4,26640
S19,cinema,20,5,17160
S20,work,11,4,15960
S04,cinema,7,2,10920
S02,work,20,5,23400
S12,work,8,1,23520
S19,work,14,5,6120
S12,cinema,16,6,11940
S13,shopping,12,6,6780
S08,shopping,17,3,3480
S20,other,16,2,2280
S13,eating,15,0,4500
S04,other,13,4,1980
S01,shopping,21,6,7200
S19,shopping,13,4,3000
S13,eating,17,2,3300
S11,eating,17,1,660
S13,work,20,2,26940
S18,work,17,5,16380
S06,other,23,5,3180
S13,work,22,5,9360
S08,shopping,12,2,7500
S18,shopping,19,0,8100
S13,cinema,22,4,3540
S20,work,12,0,7080
S03,cinema,12,2,10320
S10,cinema,9,4,7440
S17,work,13,0,10860
S20,other,12,6,1140
S15,work,8,2,7320
S03,work,17,6,8580
S07,other,12,5,1680
S13,cinema,23,4,21960
S14,work,10,5,3480
S03,shopping,11,6,6720
S14,work,10,3,15960
S07,shopping,11,5,60
S05,other,17,1,1980
S11,other,13,4,1440
S12,work,16,5,16440
S15,work,10,0,21840
S16,shopping,19,1,1080
S13,other,18,1,2040
S17,shopping,12,2,3060
S07,work,22,4,11100
S01,eating,15,2,3180
S11,work,13,5,20160
S01,eating,19,3,3900
S10,shopping,16,2,2700
S16,eating,16,6,3780
S07,cinema,12,2,12000
S16,shopping,15,6,2520
S12,cinema,12,0,13320
S20,other,12,1,1500
S16,cinema,8,0,14460
S20,cinema,11,6,10260
S10,other,22,2,2760
S14,cinema,23,2,12120
S17,cinema,12,5,10980
S05,work,11,2,60
S10,other,20,5,2160
S11,work,16,5,9120
S01,eating,7,2,1380
S03,cinema,11,5,7140
S05,shopping,21,6,2460
S12,shopping,8,1,5760
S04,work,23,1,17220
S04,eating,13,1,1200
S06,cinema,7,1,6360
S20,eating,21,5,3360
S07,other,23,0,1440
S08,cinema,16,1,12660
S19,shopping,18,6,3720
S15,cinema,22,4,19380
S03,work,15,1,10140
S04,shopping,21,2,6120
S19,cinema,7,4,10800
S07,work,17,3,14940
S11,cinema,7,2,7200
S14,other,10,3,1500
S08,other,23,0,2040
S12,work,9,4,25680
S11,other,21,5,1380
S18,cinema,20,5,8280
S04,work,9,6,16020
S13,eating,18,3,4020
S03,work,20,5,17160
S08,work,21,6,3360
S10,other,8,1,900
S10,shopping,11,6,7020
S04,work,22,3,16140
S05,other,22,5,2280
S03,shopping,19,0,2340
S08,other,17,0,2160
S12,shopping,23,4,6360
S03,work,18,4,25020
S08,eating,19,6,5340
S20,shopping,16,2,6300
S12,shopping,10,3,5940
S03,work,23,1,18240
S20,work,13,6,3540
S15,other,14,2,2640
S05,other,22,2,1860
S11,work,14,1,18900
S13,work,9,0,15420
S11,shopping,15,0,5940
S05,eating,20,5,3360
S11,eating,19,1,4740
S11,cinema,7,5,9060
S12,eating,18,6,3300
S03,shopping,18,5,5760
S13,eating,15,0,780
S03,work,13,3,22320
S06,eating,18,3,5940
S06,eating,15,5,5700
S01,shopping,10,4,7020
S15,work,21,4,27420
S07,work,21,6,17880
S13,shopping,18,0,8760
S20,other,17,1,2880
S07,shopping,9,5,5040
S11,shopping,9,2,2640
S20,cinema,14,3,16920
S17,eating,20,6,5640
S14,cinema,14,4,8940
S05,work,20,2,11700
S10,eating,16,3,5040
S16,other,10,4,960
S05,work,20,4,11340
S02,work,18,2,14880
S20,work,9,6,18120
S04,work,15,3,12540
S08,shopping,22,5,6960
S20,other,22,5,2460
S03,eating,11,5,2520
S06,work,13,3,11340
S02,shopping,15,4,2820
S04,eating,12,5,3180
S17,work,8,1,21720
S13,eating,12,1,3960
S18,shopping,19,5,4440
S14,work,13,4,21840
S07,cinema,7,2,1800
S01,other,22,5,1620
S13,cinema,23,3,7860
S15,shopping,10,0,4800
S03,shopping,12,5,5220
S06,other,15,5,1560
S07,other,18,3,2280
S19,cinema,23,6,7620
S13,shopping,9,2,5880
S12,eating,20,4,4200
S05,eating,7,5,4440
S20,work,12,3,7140
S02,work,21,3,9180
S20,eating,15,3,960
S07,other,20,4,1440
S20,cinema,22,0,13680
S20,other,12,3,1320
S17,work,10,2,10020
S19,eating,9,1,4920
S01,eating,16,2,5400
S03,work,18,6,18720
S12,work,12,3,8460
S16,work,15,5,20700
S07,cinema,20,6,7800
S19,other,11,2,1260
S13,eating,8,1,3600
S12,cinema,11,3,4740
S20,other,12,6,1260
S17,shopping,20,0,8220
S06,shopping,9,5,5040
S07,other,23,0,2520
S14,eating,11,1,2400
S08,cinema,11,0,8820
S12,cinema,9,2,10380
S10,work,10,1,11760
S07,eating,23,6,3180
S16,eating,15,3,1440
S14,other,7,6,2580
S18,other,18,0,1800
S02,eating,16,3,3180
S12,work,20,1,14460
S07,cinema,20,4,15060
S04,work,9,2,7800
S12,cinema,7,6,7980
S04,eating,17,1,2820
S11,shopping,9,5,5820
S09,shopping,13,0,8160
S20,eating,19,6,2640
S14,eating,18,1,2220
S09,cinema,17,2,9060
S04,shopping,22,6,4980
S12,work,14,4,14100
S03,shopping,17,0,6780
S07,cinema,12,6,7980
S04,work,17,0,13500
S13,other,12,1,1200
S08,shopping,16,4,7140
S10,shopping,13,5,9360
S15,shopping,14,1,5580
S12,cinema,19,6,15360
S20,eating,14,3,5040
S13,cinema,23,0,6900
S04,cinema,18,4,8220
S05,other,9,5,1380
S13,cinema,13,2,13920
S15,cinema,19,1,8640
S16,eating,7,6,4080
S13,work,17,0,16440
S03,eating,17,5,3180
S08,eating,22,0,3480
S04,work,8,0,12660
S16,eating,17,6,2640
S03,work,17,0,18660
S12,cinema,17,3,10980
S13,other,11,3,2400
S01,eating,20,6,3360
S13,other,10,2,60
S12,work,21,6,24120
S07,work,23,6,18840
S09,shopping,8,2,8520
S17,shopping,19,0,4140
S11,shopping,17,1,3240
S13,other,10,4,480
S15,shopping,20,0,6000
S13,shopping,15,6,2160
S05,shopping,9,5,8820
S07,other,14,2,3120
S18,shopping,15,5,4080
S08,shopping,20,5,4320
S01,eating,17,2,4620
S07,cinema,14,5,14400
S06,work,21,0,2100
S12,other,9,4,2340
S11,other,22,5,1200
S09,eating,13,4,4080
S04,cinema,12,1,3180
S17,work,23,2,1920
S05,work,17,3,13500
S10,shopping,9,5,4680
S17,cinema,8,4,8940
S06,other,20,5,2040
S06,cinema,13,0,8760
S04,other,8,2,2400
S11,eating,21,4,4320
S03,other,12,6,1080
S06,eating,21,6,4320
S18,cinema,19,5,14040
S07,work,12,6,7800
S20,other,9,3,1020
S02,cinema,12,2,4680
S02,work,9,6,13320
S01,other,16,0,1800
S05,eating,19,1,3840
S14,eating,17,2,3840
S02,shopping,12,0,8460
S10,eating,19,5,1380
S06,cinema,10,4,4980
S04,other,17,3,3900
S03,work,9,4,11580
S03,cinema,12,2,14820
S10,work,7,0,16740
S05,shopping,23,4,2760
S10,eating,20,3,2760
S04,work,16,3,7620
S15,shopping,20,1,3960
S07,other,13,5,600
S15,other,8,0,420
S09,eating,22,2,3180
S16,work,14,5,14460
S05,cinema,17,4,5700
S01,eating,10,4,5940
S06,cinema,8,5,11220
S18,shopping,17,5,6120
S06,other,18,5,1620
S05,eating,16,5,4440
S16,shopping,19,1,5340
S15,eating,10,0,1680
S11,cinema,19,4,9360
S06,cinema,12,5,6780
S06,other,21,3,1920
S16,other,15,3,1740
S19,work,23,5,3720
S04,work,20,3,13020
S04,work,13,4,9240
S16,cinema,9,0,17820
S14,other,17,0,2040
S04,other,14,0,2580
S06,eating,7,4,4200
S03,work,17,6,25200
S07,other,12,3,3000
S19,cinema,18,1,8700
S01,work,16,5,10380
S05,work,20,4,16140
S01,shopping,12,5,1860
S14,other,16,6,60
S15,cinema,8,2,9840
S01,cinema,15,2,8880
S20,cinema,13,3,15660
S10,eating,10,3,3000
S14,shopping,21,1,3720
S02,eating,9,6,2040
S13,work,9,0,18840
S15,work,18,6,14220
S04,work,13,5,10920
S14,other,10,1,2160
S19,work,23,4,20940
S18,cinema,7,3,9060
S02,cinema,23,6,14220
S07,work,17,2,10320
S13,eating,12,3,4980
